SeasonStr,SeasonStartYear,League,Date,Home,Away,HomeID,AwayID,HomeScore,AwayScore,MatchSec,isMatchCancelled,isRegular
2025-2026,2025,B1,2025/10/03,A東京,宇都宮,706,703,56,81,第1節,0,0
2025-2026,2025,B1,2025/10/04,大阪,三遠,700,697,85,95,第1節,0,0
2025-2026,2025,B1,2025/10/04,佐賀,滋賀,1638,698,92,68,第1節,0,0
2025-2026,2025,B1,2025/10/04,越谷,島根,745,720,74,86,第1節,0,0
2025-2026,2025,B1,2025/10/04,A千葉,長崎,2486,2488,97,94,第1節,0,0
2025-2026,2025,B1,2025/10/04,三河,群馬,728,713,58,75,第1節,0,0
2025-2026,2025,B1,2025/10/04,京都,富山,699,696,94,85,第1節,0,0
2025-2026,2025,B1,2025/10/04,FE名古屋,千葉J,717,704,79,82,第1節,0,0
2025-2026,2025,B1,2025/10/04,名古屋D,北海道,729,702,68,56,第1節,0,0
2025-2026,2025,B1,2025/10/04,仙台,茨城,692,712,86,76,第1節,0,0
2025-2026,2025,B1,2025/10/04,SR渋谷,秋田,726,693,76,69,第1節,0,0
2025-2026,2025,B1,2025/10/04,川崎,広島,727,721,83,91,第1節,0,0
2025-2026,2025,B1,2025/10/04,琉球,横浜BC,701,694,75,77,第1節,0,0
2025-2026,2025,B1,2025/10/05,仙台,茨城,692,712,70,62,第1節,0,0
2025-2026,2025,B1,2025/10/05,名古屋D,北海道,729,702,77,81,第1節,0,0
2025-2026,2025,B1,2025/10/05,京都,富山,699,696,91,96,第1節,0,0
2025-2026,2025,B1,2025/10/05,大阪,三遠,700,697,85,69,第1節,0,0
2025-2026,2025,B1,2025/10/05,佐賀,滋賀,1638,698,97,91,第1節,0,0
2025-2026,2025,B1,2025/10/05,越谷,島根,745,720,61,94,第1節,0,0
2025-2026,2025,B1,2025/10/05,A千葉,長崎,2486,2488,68,102,第1節,0,0
2025-2026,2025,B1,2025/10/05,A東京,宇都宮,706,703,64,66,第1節,0,0
2025-2026,2025,B1,2025/10/05,SR渋谷,秋田,726,693,86,69,第1節,0,0
2025-2026,2025,B1,2025/10/05,三河,群馬,728,713,98,71,第1節,0,0
2025-2026,2025,B1,2025/10/05,FE名古屋,千葉J,717,704,76,102,第1節,0,0
2025-2026,2025,B1,2025/10/05,川崎,広島,727,721,88,114,第1節,0,0
2025-2026,2025,B1,2025/10/05,琉球,横浜BC,701,694,75,79,第1節,0,0
