Ind,TeamID,Lineup_1,Lineup_2,Lineup_3,Lineup_4,Lineup_5,OFFApps,DEFApps,RatingOFF,RatingDEF,RatingOFF_mod,RatingDEF_mod,HensatiOFF,HensatiDEF
1,692,8737,10820,15815,15834,51000532,0,1,0,0.203764200643463,0.141779567463893,0.202874717473135,0.151472933876591,6.77624305245357
2,692,8737,10820,15815,51000133,51000144,8,2,-0.535029766240814,0.0734179514690676,0.228703672091767,0.195260075411776,-18.2971186822844,2.34602770570626
3,692,8737,10820,15815,51000133,51000532,2,1,0.133231018262315,0.118621331071386,0.187543655598418,0.195883118972314,4.74546900963965,3.88240260952955
4,692,8737,10820,15815,51000531,51000532,7,12,0.620720945669801,-0.0943953997751395,0.326685928782277,0.268038312834551,21.5548189845432,-3.35762152685812
5,692,8737,10820,15834,51000144,51000531,2,2,0.170631314920671,-0.0506567520125902,0.335396344117545,0.331010392889612,6.03508473367908,-1.87103000780055
6,692,8737,10820,15834,51000144,51000532,0,1,0,0.166779562907376,0.256957046510181,0.319345256657659,0.151472933876591,5.51920719043134
7,692,8737,10820,15834,51000530,51000531,0,1,0,0.16606321585269,0.407856416428307,0.342850335538372,0.151472933876591,5.49485994810278
8,692,8737,10820,15834,51000531,51000532,8,3,0.503708595583841,0.210967992936008,0.294236327624197,0.33163343645015,17.5200657857623,7.02108593340608
9,692,8737,10820,30526,51000144,51000531,89,97,0.0661024365661544,0.158874282619411,0.546320435483681,0.414295833436719,2.43077949584698,5.25052209765796
10,692,8737,10820,30526,51000144,51000532,5,9,-0.172121944600003,0.01400450068153,0.467881137876316,0.402630697204766,-5.78353790938125,0.326680136065025
11,692,8737,10820,30526,51000531,51000532,64,62,0.177767560516274,0.365191227410128,0.505160418990333,0.414918876997256,6.28115268909569,12.2628335442493
12,692,8737,10820,51000133,51000144,51000531,12,16,-0.331665142159364,0.169867533146316,0.38116043225207,0.324018794388791,-11.2848155627527,5.62416128945224
