Team,League,Division,TeamID,Order,Rating,Matches,Wins,Loses,ScoreFor,ScoreAgainst,ScoreDiff,WinTable_1,WinTable_2,WinTable_3,WinTable_4,WinTable_5,WinTable_6,WinTable_7,WinTable_8,WinTable_9,WinTable_10,WinTable_11,WinTable_12,WinTable_13,WinTable_14,WinTable_15,WinTable_16,WinTable_17,WinTable_18,WinTable_19,WinTable_20,WinTable_21,WinTable_22,WinTable_23,WinTable_24,WinTable_25,WinTable_26,WinTable_27,WinTable_28,WinTable_29,WinTable_30,WinTable_31,WinTable_32,WinTable_33,WinTable_34,WinTable_35,WinTable_36,WinTable_37,WinTable_38,WinTable_39,WinTable_40,Prob_PS,Prob_PSHome,AbvRep_Total,kWAR
北海道,B1,東,702,1,0.0199239473702146,60,37,23,5298,5204,94,0,2,2,2,2,2,1,2,1,1,3,1,2,3,0,0,1,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.189458087286,31.0378916174573
仙台,B1,東,692,2,0.0273725750229669,60,35,25,4967,4790,177,0,0,4,2,1,0,2,3,0,1,3,2,1,1,3,0,1,1,1,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.915263925108,32.3830527850217
秋田,B1,東,693,3,-0.154130698701409,60,10,50,4396,5132,-736,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3183914124121,6.46367828248242
茨城,B1,東,712,4,-0.0645471657974467,60,19,41,4572,4883,-311,0,0,4,0,0,1,0,2,1,0,0,1,0,1,1,0,1,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.4576754173,20.6915350834601
宇都宮,B1,東,703,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,168.364956518595,33.6729913037191
群馬,B1,東,713,6,0.126812213653886,60,42,18,4990,4381,609,2,2,2,3,2,0,2,2,0,2,2,3,2,1,2,1,2,2,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.607,166.342752982785,33.268550596557
越谷,B1,東,745,7,-0.087462486071331,60,21,39,4543,4926,-383,1,2,0,4,0,0,0,0,0,0,1,3,1,2,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.629130879865,16.525826175973
A千葉,B1,東,2486,8,-0.0657642407339285,60,19,41,4736,5053,-317,0,1,4,0,0,0,2,0,1,0,1,2,0,1,0,0,1,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.822458911469,21.1644917822938
千葉J,B1,東,704,9,0.0916770686840847,60,42,18,5060,4610,450,1,2,2,1,2,2,2,3,0,2,4,2,2,2,0,1,2,1,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.393,189.30056200948,37.8601124018959
A東京,B1,東,706,10,0.0447617528002196,60,41,19,4891,4654,237,3,1,4,2,2,0,2,2,2,0,1,2,1,2,0,2,2,0,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,159.045064793672,31.8090129587344
SR渋谷,B1,東,726,11,-0.0406957593668015,60,25,35,4589,4808,-219,1,1,2,2,0,0,1,1,0,1,0,3,1,2,1,1,2,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.216402457813,24.4432804915625
川崎,B1,東,727,12,-0.0975650501949427,60,16,44,4554,5042,-488,1,0,1,1,0,1,1,0,0,0,1,0,3,1,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0948693573142,14.0189738714628
横浜BC,B1,東,694,13,-0.0372433118107102,60,26,34,4763,4904,-141,0,1,1,4,0,0,3,4,0,1,1,1,0,1,0,1,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.892747924961,22.7785495849922
